adj,PERSON_raw,PRODUCT_raw,PERSON_raw_ratio,PRODUCT_raw_ratio,PERSON_norm_ratio,PRODUCT_norm_ratio
national,68,966,0.06576402321083172,0.9342359767891683,0.06576402321083172,0.9342359767891683
dangerous,24,624,0.037037037037037035,0.9629629629629629,0.037037037037037035,0.9629629629629629
long,11,6902,0.0015912049761319254,0.998408795023868,0.0015912049761319254,0.998408795023868
hot,46,2089,0.021545667447306793,0.9784543325526932,0.021545667447306793,0.9784543325526932
public,13,2921,0.004430811179277437,0.9955691888207225,0.004430811179277437,0.9955691888207225
whole,260,10260,0.024714828897338403,0.9752851711026616,0.024714828897338403,0.9752851711026616
simple,13,1391,0.009259259259259259,0.9907407407407407,0.009259259259259259,0.9907407407407407
hard,41,2730,0.014796102490075786,0.9852038975099242,0.014796102490075786,0.9852038975099242
small,213,4064,0.04980126256722001,0.9501987374327799,0.04980126256722001,0.9501987374327799
poor,498,2274,0.17965367965367965,0.8203463203463204,0.17965367965367965,0.8203463203463204
large,90,2426,0.03577106518282989,0.9642289348171701,0.03577106518282989,0.9642289348171701
now,0,0,0.0,0.0,0.0,0.0
private,23,1430,0.015829318651066758,0.9841706813489333,0.015829318651066758,0.9841706813489333
different,378,9402,0.03865030674846626,0.9613496932515337,0.03865030674846626,0.9613496932515337
high,74,6687,0.010945126460582754,0.9890548735394172,0.010945126460582754,0.9890548735394172
good,1501,24206,0.058388765705838876,0.9416112342941612,0.058388765705838876,0.9416112342941612
awesome,38,795,0.04561824729891957,0.9543817527010804,0.04561824729891957,0.9543817527010804
great,571,8705,0.06155670547649849,0.9384432945235015,0.06155670547649849,0.9384432945235015
